# SARTopo Address Tool marker definitions,,,
# label,image filename,marker-symbol (global or ncssar),default folder
EVAC-LEAVING,evac-leaving.png,icon-4H3T1151-24-0.5-0.5-ff,EVAC-LEAVING
EVAC-STAYING,evac-staying.png,icon-U8S4VB1E-24-0.5-0.5-ff,EVAC-STAYING
EVAC-NO-CONTACT,evac-no-contact.png,icon-UMQ1GFHD-24-0.5-0.5-ff,EVAC-NO-CONTACT
Help Needed,house_red.png,nondefensible-prep,Help Needed
Animal Issue,animal_issue.png,usar-14,Help Needed
Fire Location,fire.png,fire,Fire Data
Structure Destroyed,structure_destroyed.png,usar-4,Structures
Structure Damaged,structure_damaged.png,usar-2,Structures
Route Blocked,route_blocked.png,usar-20,Road Closures
Checkpoint,warning.png,warning,Road Closures
